,1P1F,1P2F,2P1F,2P2F,F1,F2,Condicion,Final,Año,Tipo_Cursada,Virtual,Oral,Grupo
860,0.7,1.1,0.9,1.4,,,Desaprobado,,2024,Verano,No,,
861,1.6,2.0,1.6,0.9,,,Desaprobado,,2024,Verano,No,,
862,3.7,6.8,1.5,4.8,,,Abandonó,,2024,Verano,No,,
863,0.0,0.0,0.0,0.0,,,Desaprobado,,2024,Verano,No,,
864,2.2,6.9,4.3,6.35,,,Promocionado,7.0,2024,Verano,No,,
865,5.3,7.8,8.9,,,,Promocionado,8.0,2024,Verano,No,,
866,7.8,,,6.8,,,Promocionado,7.0,2024,Verano,No,,
867,1.4,3.2,3.8,7.6,4.4,,Promocionado,6.0,2024,Verano,No,,
868,0.2,1.4,0.5,,,,Abandonó,,2024,Verano,No,,
869,,0.3,0.2,0.1,,,Desaprobado,,2024,Verano,No,,
870,0.2,0.3,0.0,,,,Abandonó,,2024,Verano,No,,
871,0.6,0.2,,,,,Abandonó,,2024,Verano,No,,
872,0.0,1.9,0.0,0.4,,,Desaprobado,,2024,Verano,No,,
873,9.0,,5.2,,,,Promocionado,7.0,2024,Verano,No,,
874,3.4,6.9,2.1,2.7,,6.0,Promocionado,6.0,2024,Verano,No,,
875,7.1,,9.7,,,,Promocionado,8.0,2024,Verano,No,,
876,8.2,,6.9,,,,Promocionado,8.0,2024,Verano,No,,
877,3.0,5.6,3.0,2.4,,6.4,Promocionado,6.0,2024,Verano,No,,
878,0.7,0.9,0.2,1.0,,,Desaprobado,,2024,Verano,No,,
879,1.4,6.6,7.8,,,,Promocionado,7.0,2024,Verano,No,,
880,6.6,,9.5,,,,Promocionado,8.0,2024,Verano,No,,
881,2.6,7.1,6.8,,,,Promocionado,7.0,2024,Verano,No,,
882,5.0,,6.1,7.7,,,Promocionado,6.0,2024,Verano,No,,
883,5.8,,6.1,,,,Promocionado,6.0,2024,Verano,No,,
884,0.0,0.0,,,,,Abandonó,,2024,Verano,No,,
885,4.9,7.9,5.7,,,,Promocionado,7.0,2024,Verano,No,,
886,7.6,,8.7,,,,Promocionado,8.0,2024,Verano,No,,
887,,,,,,,Libre,,2024,Verano,No,,
888,7.5,,7.6,,,,Promocionado,8.0,2024,Verano,No,,
889,1.7,2.9,,,,,Abandonó,,2024,Verano,No,,
890,0.0,0.9,0.1,0.0,,,Desaprobado,,2024,Verano,No,,
891,10.0,,9.0,,,,Promocionado,10.0,2024,Verano,No,,
892,,,,,,,Libre,,2024,Verano,No,,
893,8.7,,8.7,,,,Promocionado,9.0,2024,Verano,No,,
894,7.9,,7.5,,,,Promocionado,8.0,2024,Verano,No,,
895,1.5,0.9,,,,,Abandonó,,2024,Verano,No,,
896,5.0,,,,,,Abandonó,,2024,Verano,No,,
897,3.5,3.7,0.9,4.4,5.6,,Desaprobado,,2024,Verano,No,,
898,3.6,1.3,1.5,3.6,,,Desaprobado,,2024,Verano,No,,
899,3.4,4.0,4.0,5.5,,8.0,Promocionado,6.0,2024,Verano,No,,
900,2.7,5.8,4.9,9.4,,,Promocionado,8.0,2024,Verano,No,,
901,5.3,,8.2,,,,Promocionado,7.0,2024,Verano,No,,
902,0.2,2.5,,,,,Abandonó,,2024,Verano,No,,
903,9.2,,9.9,,,,Promocionado,10.0,2024,Verano,No,,
904,1.6,5.1,6.0,6.8,,,Promocionado,6.0,2024,Verano,No,,
905,8.7,,7.6,,,,Promocionado,8.0,2024,Verano,No,,
906,0.2,2.1,0.7,6.0,6.0,,Promocionado,6.0,2024,Verano,No,,
907,4.5,5.5,4.5,5.6,,6.8,Promocionado,6.0,2024,Verano,No,,
908,1.1,3.4,2.5,4.6,0.6,,Desaprobado,,2024,Verano,No,,
909,9.7,,8.1,,,,Promocionado,9.0,2024,Verano,No,,
910,2.9,5.2,3.5,3.3,,7.1,Promocionado,6.0,2024,Verano,No,,
911,,,,,,,Libre,,2024,Verano,No,,
912,,,,,,,Libre,,2024,Verano,No,,
913,,,,,,,Libre,,2024,Verano,No,,
914,0.0,,,,,,Abandonó,,2024,Verano,No,,
915,1.1,1.8,0.6,1.8,,,Desaprobado,,2024,Verano,No,,
916,,,,,,,Libre,,2024,Verano,No,,
917,,0.0,0.0,,,,Abandonó,,2024,Verano,No,,
918,0.4,0.9,0.0,0.9,,,Desaprobado,,2024,Verano,No,,
919,6.3,,5.0,8.0,,,Promocionado,7.0,2024,Verano,No,,
920,7.9,,9.6,,,,Promocionado,9.0,2024,Verano,No,,
921,0.6,1.6,,,,,Abandonó,,2024,Verano,No,,
922,2.2,,,,,,Abandonó,,2024,Verano,No,,
923,0.0,3.1,3.7,4.6,4.6,,Desaprobado,,2024,Verano,No,,
924,0.0,0.8,0.3,,,,Abandonó,,2024,Verano,No,,
925,0.0,0.9,,,,,Abandonó,,2024,Verano,No,,
926,,,,,,,Libre,,2024,Verano,No,,
927,0.0,1.4,1.3,5.6,4.4,,Desaprobado,,2024,Verano,No,,
928,3.8,5.0,9.0,,,,Promocionado,7.0,2024,Verano,No,,
929,1.6,4.9,6.1,,4.3,,Desaprobado,,2024,Verano,No,,
930,1.1,0.8,,,,,Abandonó,,2024,Verano,No,,
931,10.0,,9.9,,,,Promocionado,10.0,2024,Verano,No,,
932,8.3,7.6,5.3,9.7,,,Promocionado,9.0,2024,Verano,No,,
933,8.7,,7.0,,,,Promocionado,8.0,2024,Verano,No,,
934,7.6,,7.4,,,,Promocionado,8.0,2024,Verano,No,,
935,,,,,,,Libre,,2024,Verano,No,,
936,0.0,0.3,0.0,,,,Abandonó,,2024,Verano,No,,
937,1.6,9.1,7.3,,,,Promocionado,8.0,2024,Verano,No,,
938,0.0,0.6,0.0,,,,Abandonó,,2024,Verano,No,,
939,2.1,6.9,6.0,,,,Promocionado,7.0,2024,Verano,No,,
940,7.5,,8.6,,,,Promocionado,8.0,2024,Verano,No,,
941,2.7,2.1,0.9,3.4,,,Desaprobado,,2024,Verano,No,,
942,0.6,0.3,,,,,Abandonó,,2024,Verano,No,,
943,10.0,,10.0,,,,Promocionado,10.0,2024,Verano,No,,
944,2.5,5.9,0.5,3.4,,2.2,Desaprobado,,2024,Verano,No,,
945,1.8,0.7,0.9,4.0,3.2,,Desaprobado,,2024,Verano,No,,
946,1.7,2.2,0.1,,,,Abandonó,,2024,Verano,No,,
947,4.0,,2.7,5.7,,4.4,Desaprobado,,2024,1er Semestre,No,,
948,0.0,,,,,,Abandonó,,2024,1er Semestre,No,,
949,0.2,2.4,0.2,0.0,,,Desaprobado,,2024,1er Semestre,No,,
950,0.4,2.3,0.6,,,,Abandonó,,2024,1er Semestre,No,,
951,0.4,0.2,0.2,0.0,,,Desaprobado,,2024,1er Semestre,No,,
952,0.0,0.4,0.4,,,,Abandonó,,2024,1er Semestre,No,,
953,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
954,1.4,3.2,3.4,2.4,,,Desaprobado,,2024,1er Semestre,No,,
955,2.0,2.9,5.4,,5.2,,Desaprobado,,2024,1er Semestre,No,,
956,2.0,2.5,,,,,Abandonó,,2024,1er Semestre,No,,
957,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
958,1.2,0.9,2.0,4.5,4.9,,Desaprobado,,2024,1er Semestre,No,,
959,5.0,4.9,5.6,4.3,,7.3,Promocionado,6.0,2024,1er Semestre,No,,
960,1.1,0.4,3.4,,,,Abandonó,,2024,1er Semestre,No,,
961,,0.7,,,,,Abandonó,,2024,1er Semestre,No,,
962,,,,,,,Libre,,2024,1er Semestre,No,,
963,,,,,,,Libre,,2024,1er Semestre,No,,
964,3.3,4.2,,,,,Abandonó,,2024,1er Semestre,No,,
965,1.8,,,,,,Abandonó,,2024,1er Semestre,No,,
966,,,,,,,Libre,,2024,1er Semestre,No,,
967,3.6,2.8,2.1,3.3,,,Desaprobado,,2024,1er Semestre,No,,
968,3.2,2.0,2.0,5.3,7.3,,Promocionado,6.0,2024,1er Semestre,No,,
969,5.2,2.5,,,,,Abandonó,,2024,1er Semestre,No,,
970,0.4,0.4,,,,,Abandonó,,2024,1er Semestre,No,,
971,4.9,4.8,7.5,,,,Promocionado,6.0,2024,1er Semestre,No,,
972,,,,,,,Libre,,2024,1er Semestre,No,,
973,1.4,1.4,0.4,3.3,,,Desaprobado,,2024,1er Semestre,No,,
974,5.3,,8.3,,,,Promocionado,7.0,2024,1er Semestre,No,,
975,,0.6,,,,,Abandonó,,2024,1er Semestre,No,,
976,0.0,0.0,0.0,0.1,,,Desaprobado,,2024,1er Semestre,No,,
977,3.4,4.0,3.5,6.4,,,Abandonó,,2024,1er Semestre,No,,
978,0.0,2.9,0.0,0.0,,,Desaprobado,,2024,1er Semestre,No,,
979,5.8,,,,,,Abandonó,,2024,1er Semestre,No,,
980,0.0,0.6,0.4,,,,Abandonó,,2024,1er Semestre,No,,
981,1.5,0.5,5.2,,7.0,,Promocionado,6.0,2024,1er Semestre,No,,
982,7.5,,6.1,,,,Promocionado,7.0,2024,1er Semestre,No,,
983,5.7,1.7,4.6,6.0,7.0,,Promocionado,7.0,2024,1er Semestre,No,,
984,,,,,,,Libre,,2024,1er Semestre,No,,
985,,,,,,,Libre,,2024,1er Semestre,No,,
986,0.0,0.2,0.7,0.6,,,Desaprobado,,2024,1er Semestre,No,,
987,0.0,1.0,,,,,Abandonó,,2024,1er Semestre,No,,
988,,,,,,,Libre,,2024,1er Semestre,No,,
989,,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
990,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
991,7.5,,3.5,6.0,,,Promocionado,7.0,2024,1er Semestre,No,,
992,,,,,,,Libre,,2024,1er Semestre,No,,
993,2.0,1.1,4.8,,7.2,,Promocionado,6.0,2024,1er Semestre,No,,
994,5.2,,2.7,3.2,,4.3,Desaprobado,,2024,1er Semestre,No,,
995,1.4,1.3,4.0,,8.5,,Promocionado,6.0,2024,1er Semestre,No,,
996,0.0,,,,,,Abandonó,,2024,1er Semestre,No,,
997,,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
998,6.9,,5.7,,,,Promocionado,7.0,2024,1er Semestre,No,,
999,,,,,,,Libre,,2024,1er Semestre,No,,
1000,,1.5,,1.7,,,Abandonó,,2024,1er Semestre,No,,
1001,5.9,,8.1,,,,Promocionado,7.0,2024,1er Semestre,No,,
1002,0.2,0.5,,,,,Abandonó,,2024,1er Semestre,No,,
1003,1.2,2.0,,,,,Abandonó,,2024,1er Semestre,No,,
1004,4.2,,4.3,7.1,7.7,,Promocionado,7.0,2024,1er Semestre,No,,
1005,0.9,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
1006,,,,,,,Libre,,2024,1er Semestre,No,,
1007,,,,,,,Libre,,2024,1er Semestre,No,,
1008,0.0,0.2,,,,,Abandonó,,2024,1er Semestre,No,,
1009,1.2,2.6,0.0,,,,Abandonó,,2024,1er Semestre,No,,
1010,3.6,2.4,,,,,Abandonó,,2024,1er Semestre,No,,
1011,3.6,,,,,,Abandonó,,2024,1er Semestre,No,,
1012,,,,,,,Libre,,2024,1er Semestre,No,,
1013,2.3,1.7,5.0,,4.5,,Desaprobado,,2024,1er Semestre,No,,
1014,2.0,,,,,,Abandonó,,2024,1er Semestre,No,,
1015,0.0,0.0,0.0,,,,Abandonó,,2024,1er Semestre,No,,
1016,0.4,3.5,5.4,,7.4,,Promocionado,6.0,2024,1er Semestre,No,,
1017,,,,,,,Libre,,2024,1er Semestre,No,,
1018,3.0,5.5,6.0,7.5,,,Promocionado,7.0,2024,1er Semestre,No,,
1019,4.8,2.3,3.2,7.5,8.6,,Promocionado,8.0,2024,1er Semestre,No,,
1020,0.0,,,,,,Abandonó,,2024,1er Semestre,No,,
1021,2.1,2.1,5.0,,7.3,,Promocionado,6.0,2024,1er Semestre,No,,
1022,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
1023,1.9,2.7,2.2,4.0,6.7,,Desaprobado,,2024,1er Semestre,No,,
1024,1.4,1.0,3.2,6.2,8.5,,Promocionado,7.0,2024,1er Semestre,No,,
1025,,,,,,,Libre,,2024,1er Semestre,No,,
1026,,,,,,,Libre,,2024,1er Semestre,No,,
1027,1.1,0.0,0.0,,,,Abandonó,,2024,1er Semestre,No,,
1028,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
1029,0.4,1.0,,,,,Abandonó,,2024,1er Semestre,No,,
1030,4.0,,4.8,6.3,8.4,,Promocionado,7.0,2024,1er Semestre,No,,
1031,,,,,,,Libre,,2024,1er Semestre,No,,
1032,4.5,,3.2,4.6,,6.2,Desaprobado,,2024,1er Semestre,No,,
1033,0.0,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
1034,,,,0.2,0.6,,Desaprobado,,2024,1er Semestre,No,,
1035,0.8,,,,,,Abandonó,,2024,1er Semestre,No,,
1036,,,,,,,Libre,,2024,1er Semestre,No,,
1037,1.1,,,,,,Abandonó,,2024,1er Semestre,No,,
1038,0.6,0.9,,,,,Abandonó,,2024,1er Semestre,No,,
1039,0.3,1.7,2.7,3.3,,,Desaprobado,,2024,1er Semestre,No,,
1040,0.0,0.6,,,,,Abandonó,,2024,1er Semestre,No,,
1041,,0.0,,,,,Abandonó,,2024,1er Semestre,No,,
1042,2.1,4.0,5.0,6.0,7.8,,Promocionado,7.0,2024,1er Semestre,No,,
1043,,,0.0,,,,Abandonó,,2024,1er Semestre,No,,
1044,0.0,0.5,1.9,2.7,,,Desaprobado,,2024,1er Semestre,No,,
1045,2.6,4.8,3.4,7.4,,,Promocionado,6.0,2024,1er Semestre,No,,
1046,4.4,8.0,6.0,,,,Promocionado,7.0,2024,Anticipada,No,,
1047,0.0,0.4,0.0,,,,Abandonó,,2024,Anticipada,No,,
1048,4.5,6.1,5.9,,,,Promocionado,6.0,2024,Anticipada,No,,
1049,,8.2,9.5,,,,Promocionado,9.0,2024,Anticipada,No,,
1050,9.5,,,6.3,,,Promocionado,8.0,2024,Anticipada,No,,
1051,0.9,1.5,3.1,2.0,,,Desaprobado,,2024,Anticipada,No,,
1052,6.4,,3.3,4.4,,3.3,Desaprobado,,2024,Anticipada,No,,
1053,4.6,6.0,3.5,7.7,,,Promocionado,7.0,2024,Anticipada,No,,
1054,,,,,,,Libre,,2024,Anticipada,No,,
1055,7.4,,2.8,6.1,,,Promocionado,7.0,2024,Anticipada,No,,
1056,,,,,,,Libre,,2024,Anticipada,No,,
1057,4.0,7.9,5.2,,,,Promocionado,7.0,2024,Anticipada,No,,
1058,4.0,3.5,,4.5,4.9,,Desaprobado,,2024,Anticipada,No,,
1059,,,,,,,Libre,,2024,Anticipada,No,,
1060,9.6,,9.2,,,,Promocionado,10.0,2024,Anticipada,No,,
1061,,,,,,,Libre,,2024,Anticipada,No,,
1062,8.5,,7.8,,,,Promocionado,8.0,2024,Anticipada,No,,
1063,,,,,,,Libre,,2024,Anticipada,No,,
1064,3.8,3.5,4.6,4.0,6.8,,Desaprobado,,2024,Anticipada,No,,
1065,,,,,,,Libre,,2024,Anticipada,No,,
1066,0.0,0.3,0.1,,,,Abandonó,,2024,Anticipada,No,,
1067,,,,,,,Libre,,2024,Anticipada,No,,
1068,3.6,2.5,2.7,2.9,,,Desaprobado,,2024,Anticipada,No,,
1069,4.7,6.0,4.9,2.7,,7.0,Promocionado,6.0,2024,Anticipada,No,,
1070,4.4,6.5,7.0,,,,Promocionado,7.0,2024,Anticipada,No,,
1071,,,,,,,Libre,,2024,Anticipada,No,,
1072,2.1,6.4,1.0,3.0,,2.2,Desaprobado,,2024,Anticipada,No,,
1073,,,,,,,Libre,,2024,Anticipada,No,,
1074,7.1,,5.4,,,,Promocionado,6.0,2024,Anticipada,No,,
1075,3.7,4.7,0.9,4.2,,5.3,Desaprobado,,2024,Anticipada,No,,
1076,3.0,5.4,4.4,6.1,,6.7,Promocionado,6.0,2024,Anticipada,No,,
1077,,,,,,,Libre,,2024,Anticipada,No,,
1078,0.0,0.0,,,,,Abandonó,,2024,Anticipada,No,,
1079,,,,,,,Libre,,2024,Anticipada,No,,
1080,,0.6,2.2,0.7,,,Desaprobado,,2024,Anticipada,No,,
1081,,,,,,,Libre,,2024,Anticipada,No,,
1082,,,,,,,Libre,,2024,Anticipada,No,,
1083,0.0,0.0,,,,,Abandonó,,2024,Anticipada,No,,
1084,1.0,,,,,,Abandonó,,2024,Anticipada,No,,
1085,1.0,0.7,,,,,Abandonó,,2024,Anticipada,No,,
1086,0.0,0.0,,,,,Abandonó,,2024,Anticipada,No,,
1087,,,,,,,Libre,,2024,Anticipada,No,,
1088,,,,,,,Libre,,2024,Anticipada,No,,
1089,0.4,,,,,,Abandonó,,2024,Anticipada,No,,
1090,0.9,,,,,,Abandonó,,2024,Anticipada,No,,
1091,0.0,0.0,0.0,,,,Abandonó,,2024,Anticipada,No,,
1092,2.4,3.5,4.9,7.7,8.2,,Promocionado,8.0,2024,Anticipada,No,,
1093,1.4,2.6,0.2,2.9,,,Desaprobado,,2024,Anticipada,No,,
1094,8.0,,7.5,,,,Promocionado,8.0,2024,Anticipada,No,,
1095,1.8,,,,,,Abandonó,,2024,Anticipada,No,,
1096,1.5,1.3,1.3,1.0,,,Desaprobado,,2024,Anticipada,No,,
1097,,,,,,,Libre,,2024,Anticipada,No,,
1098,1.6,0.8,,,,,Abandonó,,2024,Anticipada,No,,
1099,,,,,,,Libre,,2024,Anticipada,No,,
1100,7.7,,8.7,,,,Promocionado,8.0,2024,Anticipada,No,,
1101,,,,,,,Libre,,2024,Anticipada,No,,
1102,,,,,,,Libre,,2024,Anticipada,No,,
1103,3.1,2.9,6.1,,8.2,,Promocionado,7.0,2024,Anticipada,No,,
1104,0.8,2.3,,,,,Abandonó,,2024,Anticipada,No,,
1105,,,,,,,Libre,,2024,Anticipada,No,,
1106,0.0,0.7,0.0,0.0,,,Desaprobado,,2024,Anticipada,No,,
1107,,,,,,,Libre,,2024,Anticipada,No,,
1108,3.5,3.5,,,,,Abandonó,,2024,Anticipada,No,,
1109,3.7,4.0,,,,,Abandonó,,2024,Anticipada,No,,
1110,,,,,,,Libre,,2024,Anticipada,No,,
1111,0.0,0.2,,,,,Abandonó,,2024,Anticipada,No,,
1112,1.8,0.9,,,,,Abandonó,,2024,Anticipada,No,,
1113,,,,,,,Libre,,2024,Anticipada,No,,
1114,,,,,,,Libre,,2024,Anticipada,No,,
1115,2.6,1.7,0.2,2.8,,,Desaprobado,,2024,Anticipada,No,,
1116,,,,,,,Libre,,2024,Anticipada,No,,
1117,6.8,,4.5,5.9,,,Promocionado,7.0,2024,Anticipada,No,,
1118,0.0,0.0,0.0,0.0,,,Desaprobado,,2024,Anticipada,No,,
1119,,,,,,,Libre,,2024,Anticipada,No,,
1120,,,,,,,Libre,,2024,Anticipada,No,,
1121,,,,,,,Libre,,2024,Anticipada,No,,
1122,3.2,2.4,2.9,,,,Abandonó,,2024,Anticipada,No,,
1123,8.1,,8.0,,,,Promocionado,8.0,2024,Anticipada,No,,
1124,0.4,0.5,0.4,,,,Abandonó,,2024,Anticipada,No,,
1125,1.4,0.5,1.6,3.4,,,Desaprobado,,2024,Anticipada,No,,
1126,4.6,3.3,,2.8,,,Desaprobado,,2024,Anticipada,No,,
1127,7.7,,8.1,,,,Promocionado,8.0,2024,Anticipada,No,,
1128,2.8,3.0,,,,,Abandonó,,2024,Anticipada,No,,
1129,,,,,,,Libre,,2024,Anticipada,No,,
1130,,1.0,,,,,Abandonó,,2024,Anticipada,No,,
1131,,,,,,,Libre,,2024,Anticipada,No,,
1132,,,,,,,Libre,,2024,Anticipada,No,,
1133,,,,,,,Libre,,2024,Anticipada,No,,
1134,,,,,,,Libre,,2024,Anticipada,No,,
1135,3.8,5.8,5.1,4.7,,4.0,Desaprobado,,2024,Anticipada,No,,
1136,10.0,,10.0,,,,Promocionado,10.0,2024,Anticipada,No,,
1137,,,,,,,Libre,,2024,Anticipada,No,,
1138,3.6,4.0,5.8,5.2,10.0,,Promocionado,8.0,2024,Anticipada,No,,
1139,,0.9,0.4,0.9,,,Desaprobado,,2024,Anticipada,No,,
1140,,,,,,,Libre,,2024,Anticipada,No,,
1141,7.0,,8.5,,,,Promocionado,8.0,2024,Anticipada,No,,
1142,0.2,,,,,,Abandonó,,2024,Anticipada,No,,
1143,,,,,,,Libre,,2024,Anticipada,No,,
